KAIST/TrainData1_6_sub_3	x^{2} + y^{2} \lt 1
KAIST/TrainData2_13_sub_98	\lim_{x \rightarrow \frac{1}{4}} \frac{1 - 4^{x - \frac{1}{4}}}{1 - 4 x}
KAIST/TrainData2_25_sub_15	\left( x^{3} - x^{2} - x \right) \left( 2 x - 7 \right)
KAIST/TrainData2_14_sub_20	a + b + c + d + e
KAIST/TrainData2_13_sub_88	3 0 \times 2 9 x^{2 8}
KAIST/KME2G3_17_sub_35	\log_2 \frac 1 2 + \log_4 \frac 2 4
KAIST/TrainData2_8_sub_88	3 0 \times 2 9 x^{2 8}
KAIST/TrainData2_9_sub_71	\frac{\sin B + \sin C}{\cos B + \cos C}
KAIST/TrainData1_6_sub_5	e^{i \pi} + 1 = 0
KAIST/TrainData2_0_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
KAIST/TrainData2_21_sub_6	x_{i} - x_{i + 1} + x_{i + 2}
KAIST/KME2G3_24_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
KAIST/TrainData2_1_sub_9	\sqrt{b^{2} - 4 a c}
KAIST/TrainData2_23_sub_13	\frac{\sin \theta + \cos \theta + \tan \theta}{x + y + z}
KAIST/TrainData1_3_sub_7	\tan z = \frac{\sin z}{\cos z}
KAIST/KME2G3_2_sub_30	\sum_{i = 2 n + 3 m}^{1 0} i x
KAIST/TrainData2_24_sub_51	\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
KAIST/TrainData2_3_sub_46	\lim_{x \rightarrow - 1} \frac{x^{3} + 1}{x + 1}
KAIST/TrainData2_4_sub_41	\frac{\tan \alpha - \tan \beta}{1 + \tan \alpha \tan \beta}
KAIST/TrainData1_2_sub_7	\tan z = \frac{\sin z}{\cos z}
KAIST/TrainData2_25_sub_1	x_{1} + x_{2} = x_{3}
KAIST/TrainData2_22_sub_39	\sin x - \sin y - \sin \left( x - y \right)
KAIST/TrainData2_21_sub_1	x_{1} + x_{2} = x_{3}
KAIST/TrainData2_22_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
KAIST/TrainData2_10_sub_11	\sqrt{x - y - z + x^{2} + y^{2} + z^{2}}
KAIST/KME2G3_22_sub_30	\sum_{i = 2 n + 3 m}^{1 0} i x
KAIST/KME2G3_7_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
KAIST/TrainData1_0_sub_19	x = \frac{- b \pm \sqrt{b^{2} - 4 a c}}{2 a}
KAIST/TrainData2_4_sub_51	\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
KAIST/KME2G3_0_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
KAIST/TrainData1_0_sub_3	x^{2} + y^{2} \lt 1
KAIST/TrainData1_4_sub_19	x = \frac{- b \pm \sqrt{b^{2} - 4 a c}}{2 a}
KAIST/TrainData2_7_sub_20	a + b + c + d + e
KAIST/TrainData2_17_sub_11	\sqrt{x - y - z + x^{2} + y^{2} + z^{2}}
KAIST/TrainData2_0_sub_41	\frac{\tan \alpha - \tan \beta}{1 + \tan \alpha \tan \beta}
KAIST/KME2G3_17_sub_28	z_1^2 + 1^z - z_2^2 + 2^z
KAIST/TrainData2_17_sub_6	x_{i} - x_{i + 1} + x_{i + 2}
KAIST/TrainData2_23_sub_43	\frac{2 \tan \alpha}{1 - \tan^{2} \alpha}
KAIST/TrainData2_2_sub_17	x_{1} - x_{2} + y_{1} - y_{2} + z_{1} - z_{2}
KAIST/KME2G3_17_sub_30	\sum_{i = 2 n + 3 m}^{1 0} i x
KAIST/TrainData2_21_sub_95	\sqrt{1 + \sqrt{2 + \sqrt{3 + \sqrt{4}}}}
KAIST/KME1G3_7_sub_22	\lim_{x \rightarrow \infty} \int_0^x e^{- y^2} d y = \frac {\sqrt \pi} 2
KAIST/TrainData2_6_sub_6	x_{i} - x_{i + 1} + x_{i + 2}
KAIST/TrainData1_8_sub_5	e^{i \pi} + 1 = 0
KAIST/TrainData2_25_sub_73	\alpha_{n + 1} - 3 \beta = \frac{2}{3} \alpha_{n} + \beta - 3 \beta
KAIST/TrainData2_8_sub_6	x_{i} - x_{i + 1} + x_{i + 2}
KAIST/TrainData2_6_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
KAIST/TrainData2_3_sub_13	\frac{\sin \theta + \cos \theta + \tan \theta}{x + y + z}
KAIST/TrainData2_20_sub_51	\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
KAIST/TrainData2_19_sub_17	x_{1} - x_{2} + y_{1} - y_{2} + z_{1} - z_{2}
KAIST/KME2G3_26_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
KAIST/TrainData2_3_sub_63	\frac{1}{a} F \left( a x + b \right) + C
KAIST/TrainData2_3_sub_29	x^{i + 2 j \times k^{3} - 2 \frac{j}{i}}
KAIST/TrainData2_8_sub_73	\alpha_{n + 1} - 3 \beta = \frac{2}{3} \alpha_{n} + \beta - 3 \beta
KAIST/KME2G3_0_sub_96	[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
