MfrDB3510	\lim_{x \to c} f ( x ) = f ( c )
200922-949-152	 { o } ^ { \sum { A } } 
KME1G3_5_sub_24	a ( n ) = \sum_{k = 1}^n ( - 1 )^{n - k} k !
122_em_346	\left|a-\frac{p}{q}\right| \geq \frac{C}{q^d}
MfrDB2277	{3^{2}} - 1 = 8
formulaire028-equation062	y_{ij} = 1
200923-1254-55	 \frac { 1 } { \sin \left ( x \right ) + 1 } 
formulaire047-equation020	89 - 63 - 188 + 18 \geq -144
200923-1556-256	 \mbox { l } 
formulaire008-equation013	(a + b)^2 = a^2 + 2ab + b^2
200923-1253-128	 \sum _ { { v \geq l } } { \mbox { X } } 
formulaire039-equation028	\pm\sqrt{-1}
200922-1017-83	 \mbox { i } 
29_em_153	(a-b)^2=a^2-2ab+b^2
KME1G3_3_sub_24	a ( n ) = \sum_{k = 1}^n ( - 1 )^{n - k} k !
32_em_221	n\geq N
formulaire050-equation003	k=12n-1
200923-1253-184	 { - L \left ( \mbox { a } \right ) } 
200923-1556-18	 a ^ x + b ^ x + \frac { c } { 2 } 
formulaire015-equation053	x=-\sqrt{y-3}
200923-131-247	 \left [ \mbox { T } \right ] 
513_em_317	\frac{7x}{7}  = \frac{14}{7}
KME2G3_26_sub_28	z_1^2 + 1^z - z_2^2 + 2^z
200923-1253-135	 { \mu } _ { o } 
rit_42105_0	 a + 6 \sqrt {2} 
formulaire026-equation030	189 \pm 66 + ((169 \div 49) - (17 \div 76))
129_carlos	1+2+\cdots+n = \frac{n(n+1)}{2}
MfrDB2548	g ( 2 , 3 , 4 ) = 3 {4^{- 3}}
2009213-137-123	 0.6 
formulaire032-equation049	\frac{p}{2}
formulaire008-equation036	f(x_0) = a_0
formulaire012-equation003	4 \pi d^2
KME1G3_3_sub_18	\lim_{t \rightarrow \infty} ( 1 + \frac 1 t )^t = e
MfrDB2962	{( 1 + x )^{r}} \geq 1 + r x
KME1G3_12_sub_10	\int_a^b \frac {\sqrt x} 2 d x
formulaire020-equation028	f(a_1) \leq f(a_2)
200923-1254-35	 { i } _ { \mbox { R } } 
formulaire019-equation012	-h(1+t^2)
27_em_113	x = \frac {af(b) - bf(a)} {f(b) - f(a)}
001-equation001	  B_n(1-x)=(-1)^n B_n(x)
129_Frank	1+2+\cdots+n = \frac{n(n+1)}{2}
200926-1550-119	 \left [ { \mbox { x } } _ { i } \right ] 
MfrDB1444	{( 12 - x )^{2}}
200923-131-44	 \sin \left ( \frac { \pi } { 4 } \right ) = \frac { 1 } { \sqrt { 2 } } 
MfrDB1540	1234 + 5678 \gt 90
MfrDB2254	{a^{2}} + {b^{2}} = {c^{2}}
formulaire015-equation026	\sum a_n(x)
505_em_56	\frac 1 {\sqrt 2} + \frac 1 {\sqrt 2} i
KME2G3_14_sub_96	[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
formulaire026-equation008	\frac{n_{1}}{a_{1}}- \frac{n_{2}}{a_{2}}=\frac{n_{1}-n_{2}}{c}
200926-1550-48	 \sin \left ( \frac { \pi } { 3 } \right ) = \frac { 1 } { 2 } 
TrainData2_2_sub_20	a + b + c + d + e
2009210-947-192	 { { \mbox { z } } ^ { \Delta } \mu } 
rit_42170_0	 x ^ {4} - 4 x ^ {3} - 14 x ^ {2} - 4 x + 1 
200922-947-1	 \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z 
126_jorge	| x - \frac{p_n}{q_n} | \leq \frac{1}{q_nq_{n+1}} \lt  \frac{1}{q_n^2}
formulaire034-equation014	k_1 = k_t = k
formulaire032-equation012	y_{ijk}
MfrDB1620	\frac{1}{2} {( 19 x - 2 y )^{x - y}}
2009212-1031-63	 9 
MfrDB1921	\sqrt{\frac{1}{n} \sum_{k = 1}^{n} {( a_{k} )^{2}}} \geq \frac{1}{n} \sum_{k = 1}^{n} a_{k}
200923-1556-165	 { { - \theta } - { \mbox { w } } ^ { N } } 
KME2G3_12_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
2009220-1327-56	 2 \alpha + 3 \sqrt { \beta } 
formulaire029-equation045	((104 - 162) \times 152) \times (79 + 106) \geq -1630960
TrainData1_6_sub_7	\tan z = \frac{\sin z}{\cos z}
MfrDB3443	\lim_{x \to 0} \frac{1 - \cos x}{x} = 0
200923-1251-260	 5.7 
formulaire012-equation031	a \times 0 = 0 \times a = 0
79_herbert	p = \sqrt{a^2 + b^2 - 2ab \cos A}
formulaire014-equation030	23 \times (122 \times (2  65)) = 86.34
formulaire012-equation037	\lim_{x\rightarrow-\infty}f(x) = -\infty
200924-1312-49	 \cos \left ( 0 \right ) = 1 
200923-1553-222	 9 
formulaire007-equation069	m_1+m_2=m
2009212-1031-83	 \mbox { Bc } 
2009213-139-187	 \frac { o } { \sqrt { \mbox { c } } } 
formulaire014-equation072	u(0) = u_0
MfrDB1419	1 + 2 = 3
formulaire002-equation054	1+{d-1}^{\frac {m}{2}-1}+m\sum_{i=0}^{\frac{m-4}{2}}(d-1)^i
2009212-952-56	 2 \alpha + 3 \sqrt { \beta } 
TrainData1_3_sub_5	e^{i \pi} + 1 = 0
200922-1017-132	 { \mbox { H } } _ { \mbox { r } } 
31_em_181	\frac{az^{-1} }{ (1-a z^{-1})^2 }
200922-947-156	 \mbox { h } 
MfrDB3256	v_{c} = v_{c - 1} ( \frac{r - c}{c} )
formulaire038-equation014	c_{ij} = \cos \theta_{ij}
200924-1312-17	 \mbox { pi } 
formulaire027-equation036	2\cos^2(\frac x2)
MfrDB1883	\lim_{n \to \infty} | x_{n + 1} - x_{n} |
formulaire027-equation073	\gamma^0=\beta
formulaire029-equation036	\frac{1}{\sqrt{2}}
2009220-1327-95	 { - \sum { g } } 
121_em_329	H_{i-1}
MfrDB3209	\sqrt[3]{\frac{{z^{3}} + 2}{\sqrt{z} + 1}}
200925-1126-48	 \sin \left ( \frac { \pi } { 3 } \right ) = \frac { 1 } { 2 } 
2009212-1031-98	 \sum { g } 
KME2G3_15_sub_30	\sum_{i = 2 n + 3 m}^{1 0} i x
formulaire007-equation062	(a, c)
2009213-137-56	 2 \alpha + 3 \sqrt { \beta } 
formulaire010-equation004	\sqrt{zw}=\sqrt{z}\sqrt{w}
TrainData2_24_sub_61	\int \left( 2^{x} - 3 e^{x} \right) d x
formulaire018-equation069	t_{\gamma}^{k}
formulaire008-equation034	-m\frac{v^2}{r}=-\frac{e^2}{r^2}
formulaire027-equation054	\beta = \frac{v}{c}= \frac{b}{a}
79_user0	p = \sqrt{a^2 + b^2 - 2ab \cos A}
RIT_2014_174	 \frac {7} {6} y _ {n} (- y _ {n + 1} + 2 y _ {n} - y _ {n - 1}) 
509_em_98	\sigma_p = \sqrt {\sigma_p^2}
200923-1253-124	 \frac { { r } ^ { \mbox { F } } } { { u \mbox { M } } } 
MfrDB2489	\frac{b}{{a^{2}} - a} - \frac{b}{a - 1}
200923-1556-22	 C 
formulaire024-equation074	p(\theta) = (n+1) \sin\theta \cos^n\theta
formulaire038-equation012	a_p = p-n_p
200922-949-99	 N 
MfrDB3022	h ( x , y ) = {x^{y + \frac{1}{y}}}
RIT_2014_116	 \frac {a} {b + \sqrt {c}} = \frac {a} {b + \sqrt {c}} \times \frac {b - \sqrt {c}} {b - \sqrt {c}} 
200922-949-185	 \mbox { H } 
73_Fabricio	\left| \frac{a x_0 + b y_0 + c}{\sqrt{a^2 + b^2}} \right|
formulaire001-equation010	151 \pm 143 \div 97
MfrDB1176	1 + 2
TrainData2_2_sub_17	x_{1} - x_{2} + y_{1} - y_{2} + z_{1} - z_{2}
MfrDB0666	x = \sum a + \sum b
formulaire025-equation050	((8 \div 130) \div (190 \times 12)) \times ((86 + 147) - (84 \div 0)) \neq 2147483647
TrainData1_6_sub_21	A = \sqrt{a + \frac{1}{\sqrt{a + \frac{1}{\sqrt{a}}}}} + \sqrt{b}
formulaire038-equation058	(a_1 b_2 + a_2 b_1 + a_3 b_4 - a_4 b_3)^2
18_em_1	\sqrt{48} 
TrainData1_4_sub_15	F_{n} = F_{n - 1} + F_{n - 2}
TrainData2_11_sub_95	\sqrt{1 + \sqrt{2 + \sqrt{3 + \sqrt{4}}}}
MfrDB1831	( {y^{4}} - 1 )  ( {y^{2}} - 1 )
200923-1253-255	 { - o } 
