andlater,youshouldcallthemintheoppositeorder:`optimizer.step()`before`lr_scheduler.step()`.FailuretodothiswillresultinPyTorchskippingthefirstvalueofthelearningrateschedule.Seemoredetailsathttps://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate

epochsoncuda
Epoch1:TrainAccuracy=0.41137,TrainLoss=2.80251,ValidationAccuracy=0.18924,ValidationLoss=3.56163,lr=0.1(timeelapsed00:15:11)
Epoch2:TrainAccuracy=0.45607,TrainLoss=2.48517,ValidationAccuracy=0.15992,ValidationLoss=4.22290,lr=0.1(timeelapsed00:15:19)
Epoch3:TrainAccuracy=0.47885,TrainLoss=2.35556,ValidationAccuracy=0.33500,ValidationLoss=3.76267,lr=0.1(timeelapsed00:15:23)
Epoch4:TrainAccuracy=0.49189,TrainLoss=2.27846,ValidationAccuracy=0.14606,ValidationLoss=6.28405,lr=0.1(timeelapsed00:15:22)
Epoch5:TrainAccuracy=0.50866,TrainLoss=2.18642,ValidationAccuracy=0.15168,ValidationLoss=5.93732,lr=0.1(timeelapsed00:15:25)
Epoch6:TrainAccuracy=0.52188,TrainLoss=2.11892,ValidationAccuracy=0.29608,ValidationLoss=7.34730,lr=0.1(timeelapsed00:15:34)
Epoch7:TrainAccuracy=0.53720,TrainLoss=2.03925,ValidationAccuracy=0.22532,ValidationLoss=5.10506,lr=0.1(timeelapsed00:15:31)
Epoch8:TrainAccuracy=0.55216,TrainLoss=1.95397,ValidationAccuracy=0.26699,ValidationLoss=5.04051,lr=0.1(timeelapsed00:15:15)
Epoch9:TrainAccuracy=0.57106,TrainLoss=1.86872,ValidationAccuracy=0.18505,ValidationLoss=8.85882,lr=0.1(timeelapsed00:15:18)
Epoch10:TrainAccuracy=0.58253,TrainLoss=1.81205,ValidationAccuracy=0.32147,ValidationLoss=4.95103,lr=0.1(timeelapsed00:15:13)
Epoch11:TrainAccuracy=0.59565,TrainLoss=1.72922,ValidationAccuracy=0.30325,ValidationLoss=6.71153,lr=0.1(timeelapsed00:15:20)
Epoch12:TrainAccuracy=0.60977,TrainLoss=1.67265,ValidationAccuracy=0.23950,ValidationLoss=6.23138,lr=0.1(timeelapsed00:15:24)
Epoch13:TrainAccuracy=0.63368,TrainLoss=1.58054,ValidationAccuracy=0.27652,ValidationLoss=6.90019,lr=0.1(timeelapsed00:15:22)
Epoch14:TrainAccuracy=0.64489,TrainLoss=1.51106,ValidationAccuracy=0.29797,ValidationLoss=6.75076,lr=0.1(timeelapsed00:15:24)
Epoch15:TrainAccuracy=0.64648,TrainLoss=1.49631,ValidationAccuracy=0.16644,ValidationLoss=7.55469,lr=0.1(timeelapsed00:15:28)
Epoch16:TrainAccuracy=0.66652,TrainLoss=1.41521,ValidationAccuracy=0.15053,ValidationLoss=10.12093,lr=0.1(timeelapsed00:15:30)
Epoch17:TrainAccuracy=0.67471,TrainLoss=1.36548,ValidationAccuracy=0.19390,ValidationLoss=13.29584,lr=0.1(timeelapsed00:15:26)
Epoch18:TrainAccuracy=0.68612,TrainLoss=1.31716,ValidationAccuracy=0.31861,ValidationLoss=7.31954,lr=0.1(timeelapsed00:15:25)
Epoch19:TrainAccuracy=0.69507,TrainLoss=1.27562,ValidationAccuracy=0.20964,ValidationLoss=9.18351,lr=0.1(timeelapsed00:15:18)
