andlater,youshouldcallthemintheoppositeorder:`optimizer.step()`before`lr_scheduler.step()`.FailuretodothiswillresultinPyTorchskippingthefirstvalueofthelearningrateschedule.Seemoredetailsathttps://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate

epochsoncuda
Epoch1:TrainAccuracy=0.51161,TrainLoss=2.37168,ValidationAccuracy=0.35410,ValidationLoss=2.79197,lr=0.085(timeelapsed00:08:33)
Epoch2:TrainAccuracy=0.56872,TrainLoss=2.00855,ValidationAccuracy=0.35548,ValidationLoss=2.87565,lr=0.07225(timeelapsed00:10:08)
Epoch3:TrainAccuracy=0.58130,TrainLoss=1.91513,ValidationAccuracy=0.50678,ValidationLoss=2.25127,lr=0.061412499999999995(timeelapsed00:12:53)
Epoch4:TrainAccuracy=0.58708,TrainLoss=1.85694,ValidationAccuracy=0.11627,ValidationLoss=4.66163,lr=0.052200624999999994(timeelapsed00:12:50)
Epoch5:TrainAccuracy=0.60023,TrainLoss=1.77967,ValidationAccuracy=0.47813,ValidationLoss=2.27420,lr=0.04437053125(timeelapsed00:12:52)
Epoch6:TrainAccuracy=0.61283,TrainLoss=1.71796,ValidationAccuracy=0.46325,ValidationLoss=2.32966,lr=0.037714951562499995(timeelapsed00:12:53)
Epoch7:TrainAccuracy=0.62036,TrainLoss=1.65742,ValidationAccuracy=0.52882,ValidationLoss=2.14415,lr=0.032057708828124996(timeelapsed00:12:53)
Epoch8:TrainAccuracy=0.63074,TrainLoss=1.59804,ValidationAccuracy=0.52212,ValidationLoss=2.07906,lr=0.027249052503906246(timeelapsed00:12:56)
Epoch9:TrainAccuracy=0.63279,TrainLoss=1.57751,ValidationAccuracy=0.49079,ValidationLoss=2.16486,lr=0.02316169462832031(timeelapsed00:12:53)
Epoch10:TrainAccuracy=0.63969,TrainLoss=1.53398,ValidationAccuracy=0.54537,ValidationLoss=1.94198,lr=0.01968744043407226(timeelapsed00:12:55)
Epoch11:TrainAccuracy=0.64092,TrainLoss=1.52022,ValidationAccuracy=0.53465,ValidationLoss=2.00972,lr=0.016734324368961422(timeelapsed00:12:54)
Epoch12:TrainAccuracy=0.64978,TrainLoss=1.48059,ValidationAccuracy=0.54019,ValidationLoss=1.98450,lr=0.014224175713617207(timeelapsed00:12:57)
Epoch13:TrainAccuracy=0.65388,TrainLoss=1.45770,ValidationAccuracy=0.53458,ValidationLoss=1.96518,lr=0.012090549356574627(timeelapsed00:12:55)
Epoch14:TrainAccuracy=0.65944,TrainLoss=1.42536,ValidationAccuracy=0.54937,ValidationLoss=1.93518,lr=0.010276966953088433(timeelapsed00:12:57)
Epoch15:TrainAccuracy=0.66157,TrainLoss=1.41447,ValidationAccuracy=0.53751,ValidationLoss=1.98096,lr=0.008735421910125168(timeelapsed00:13:00)
Epoch16:TrainAccuracy=0.66470,TrainLoss=1.39883,ValidationAccuracy=0.54278,ValidationLoss=1.95028,lr=0.007425108623606392(timeelapsed00:12:58)
Epoch17:TrainAccuracy=0.66551,TrainLoss=1.38372,ValidationAccuracy=0.54965,ValidationLoss=1.93266,lr=0.006311342330065433(timeelapsed00:12:59)
Epoch18:TrainAccuracy=0.67049,TrainLoss=1.36850,ValidationAccuracy=0.55285,ValidationLoss=1.91422,lr=0.005364640980555618(timeelapsed00:13:02)
Epoch19:TrainAccuracy=0.66789,TrainLoss=1.36815,ValidationAccuracy=0.54588,ValidationLoss=1.94491,lr=0.004559944833472275(timeelapsed00:13:00)
Epoch20:TrainAccuracy=0.67168,TrainLoss=1.36270,ValidationAccuracy=0.54955,ValidationLoss=1.95576,lr=0.0038759531084514333(timeelapsed00:12:57)
Epoch21:TrainAccuracy=0.67332,TrainLoss=1.34539,ValidationAccuracy=0.55093,ValidationLoss=1.92878,lr=0.003294560142183718(timeelapsed00:13:00)
Epoch22:TrainAccuracy=0.67483,TrainLoss=1.34413,ValidationAccuracy=0.54835,ValidationLoss=1.93283,lr=0.002800376120856161(timeelapsed00:12:57)
Epoch23:TrainAccuracy=0.67608,TrainLoss=1.33906,ValidationAccuracy=0.55505,ValidationLoss=1.89680,lr=0.0023803197027277368(timeelapsed00:13:01)
Epoch24:TrainAccuracy=0.67685,TrainLoss=1.32731,ValidationAccuracy=0.55027,ValidationLoss=1.93497,lr=0.002023271747318576(timeelapsed00:12:59)
Epoch25:TrainAccuracy=0.67603,TrainLoss=1.33599,ValidationAccuracy=0.55282,ValidationLoss=1.93575,lr=0.0017197809852207897(timeelapsed00:13:01)
Epoch26:TrainAccuracy=0.68406,TrainLoss=1.30031,ValidationAccuracy=0.55628,ValidationLoss=1.92040,lr=0.0014618138374376712(timeelapsed00:13:00)
Epoch27:TrainAccuracy=0.67138,TrainLoss=1.34683,ValidationAccuracy=0.55369,ValidationLoss=1.93335,lr=0.0012425417618220204(timeelapsed00:12:56)
Epoch28:TrainAccuracy=0.67937,TrainLoss=1.31852,ValidationAccuracy=0.55305,ValidationLoss=1.92827,lr=0.0010561604975487173(timeelapsed00:13:00)
Epoch29:TrainAccuracy=0.67994,TrainLoss=1.31745,ValidationAccuracy=0.55249,ValidationLoss=1.91896,lr=0.0008977364229164098(timeelapsed00:12:59)
Epoch30:TrainAccuracy=0.68029,TrainLoss=1.31589,ValidationAccuracy=0.55921,ValidationLoss=1.91157,lr=0.0007630759594789482(timeelapsed00:12:59)
Epoch31:TrainAccuracy=0.68365,TrainLoss=1.30911,ValidationAccuracy=0.55709,ValidationLoss=1.91423,lr=0.000648614565557106(timeelapsed00:13:00)
Epoch32:TrainAccuracy=0.67671,TrainLoss=1.32972,ValidationAccuracy=0.55351,ValidationLoss=1.91422,lr=0.0005513223807235401(timeelapsed00:12:57)
Epoch33:TrainAccuracy=0.68402,TrainLoss=1.30524,ValidationAccuracy=0.56158,ValidationLoss=1.89038,lr=0.00046862402361500904(timeelapsed00:13:01)
Epoch34:TrainAccuracy=0.68329,TrainLoss=1.31427,ValidationAccuracy=0.56168,ValidationLoss=1.89790,lr=0.00039833042007275774(timeelapsed00:13:03)
Epoch35:TrainAccuracy=0.67474,TrainLoss=1.33301,ValidationAccuracy=0.55121,ValidationLoss=1.92453,lr=0.000338580857061844(timeelapsed00:12:58)
Epoch36:TrainAccuracy=0.68190,TrainLoss=1.30041,ValidationAccuracy=0.55261,ValidationLoss=1.93930,lr=0.0002877937285025674(timeelapsed00:12:58)
Epoch37:TrainAccuracy=0.68048,TrainLoss=1.30752,ValidationAccuracy=0.56012,ValidationLoss=1.90750,lr=0.0002446246692271823(timeelapsed00:12:59)
Epoch38:TrainAccuracy=0.68201,TrainLoss=1.30971,ValidationAccuracy=0.55444,ValidationLoss=1.91961,lr=0.00020793096884310494(timeelapsed00:13:01)
Epoch39:TrainAccuracy=0.67984,TrainLoss=1.32042,ValidationAccuracy=0.56436,ValidationLoss=1.88537,lr=0.00017674132351663919(timeelapsed00:13:01)
Epoch40:TrainAccuracy=0.68004,TrainLoss=1.31057,ValidationAccuracy=0.56004,ValidationLoss=1.89897,lr=0.0001502301249891433(timeelapsed00:12:59)
Epoch41:TrainAccuracy=0.67645,TrainLoss=1.32638,ValidationAccuracy=0.56237,ValidationLoss=1.88440,lr=0.0001276956062407718(timeelapsed00:12:59)
Epoch42:TrainAccuracy=0.67986,TrainLoss=1.30778,ValidationAccuracy=0.56008,ValidationLoss=1.90077,lr=0.00010854126530465604(timeelapsed00:13:00)
Epoch43:TrainAccuracy=0.67948,TrainLoss=1.31859,ValidationAccuracy=0.55427,ValidationLoss=1.91271,lr=9.226007550895764e-05(timeelapsed00:13:00)
Epoch44:TrainAccuracy=0.67858,TrainLoss=1.31070,ValidationAccuracy=0.56490,ValidationLoss=1.87317,lr=7.842106418261399e-05(timeelapsed00:13:01)
