Epoch1:TrainAccuracy=0.51778,TrainLoss=2.34824,ValidationAccuracy=0.07758,ValidationLoss=7.67235,lr=0.1(timeelapsed00:14:33)
Epoch2:TrainAccuracy=0.56339,TrainLoss=2.04085,ValidationAccuracy=0.27707,ValidationLoss=3.15236,lr=0.1(timeelapsed00:14:29)
Epoch3:TrainAccuracy=0.58161,TrainLoss=1.92875,ValidationAccuracy=0.12018,ValidationLoss=5.66607,lr=0.1(timeelapsed00:14:28)
Epoch4:TrainAccuracy=0.59523,TrainLoss=1.83780,ValidationAccuracy=0.50937,ValidationLoss=2.19598,lr=0.1(timeelapsed00:14:29)
Epoch5:TrainAccuracy=0.60297,TrainLoss=1.78114,ValidationAccuracy=0.09648,ValidationLoss=5.36979,lr=0.1(timeelapsed00:14:27)
Epoch6:TrainAccuracy=0.61191,TrainLoss=1.72407,ValidationAccuracy=0.10126,ValidationLoss=11.62953,lr=0.1(timeelapsed00:14:27)
Epoch7:TrainAccuracy=0.62581,TrainLoss=1.64010,ValidationAccuracy=0.18438,ValidationLoss=3.63766,lr=0.1(timeelapsed00:14:32)
Epoch8:TrainAccuracy=0.63605,TrainLoss=1.57912,ValidationAccuracy=0.13357,ValidationLoss=4.51321,lr=0.1(timeelapsed00:14:36)
Epoch9:TrainAccuracy=0.64398,TrainLoss=1.54029,ValidationAccuracy=0.19452,ValidationLoss=3.67077,lr=0.1(timeelapsed00:14:32)
Epoch10:TrainAccuracy=0.65145,TrainLoss=1.48499,ValidationAccuracy=0.05404,ValidationLoss=10.81226,lr=0.1(timeelapsed00:14:32)
Epoch11:TrainAccuracy=0.66634,TrainLoss=1.40858,ValidationAccuracy=0.04346,ValidationLoss=11.20232,lr=0.1(timeelapsed00:14:37)
Epoch12:TrainAccuracy=0.67499,TrainLoss=1.36183,ValidationAccuracy=0.04921,ValidationLoss=11.61303,lr=0.1(timeelapsed00:14:36)
Epoch13:TrainAccuracy=0.68084,TrainLoss=1.31759,ValidationAccuracy=0.05562,ValidationLoss=9.62504,lr=0.1(timeelapsed00:14:48)
Epoch14:TrainAccuracy=0.69329,TrainLoss=1.27700,ValidationAccuracy=0.03891,ValidationLoss=14.31211,lr=0.1(timeelapsed00:14:38)
Epoch15:TrainAccuracy=0.70893,TrainLoss=1.20309,ValidationAccuracy=0.10737,ValidationLoss=7.62455,lr=0.1(timeelapsed00:14:41)
Epoch16:TrainAccuracy=0.71617,TrainLoss=1.16796,ValidationAccuracy=0.03768,ValidationLoss=15.01297,lr=0.1(timeelapsed00:14:55)
Epoch17:TrainAccuracy=0.72581,TrainLoss=1.11659,ValidationAccuracy=0.12341,ValidationLoss=5.58223,lr=0.1(timeelapsed00:14:56)
Epoch18:TrainAccuracy=0.73227,TrainLoss=1.09622,ValidationAccuracy=0.09666,ValidationLoss=6.83496,lr=0.1(timeelapsed00:14:55)
Epoch19:TrainAccuracy=0.74377,TrainLoss=1.03184,ValidationAccuracy=0.08144,ValidationLoss=9.45481,lr=0.1(timeelapsed00:15:01)
Epoch20:TrainAccuracy=0.75238,TrainLoss=1.01368,ValidationAccuracy=0.10824,ValidationLoss=7.79828,lr=0.1(timeelapsed00:14:58)
Epoch21:TrainAccuracy=0.75545,TrainLoss=0.99345,ValidationAccuracy=0.05944,ValidationLoss=12.23908,lr=0.1(timeelapsed00:14:49)
Epoch22:TrainAccuracy=0.76525,TrainLoss=0.95038,ValidationAccuracy=0.07282,ValidationLoss=10.18096,lr=0.1(timeelapsed00:14:54)
Epoch23:TrainAccuracy=0.77384,TrainLoss=0.90776,ValidationAccuracy=0.05491,ValidationLoss=11.27326,lr=0.1(timeelapsed00:14:57)
Epoch24:TrainAccuracy=0.78254,TrainLoss=0.87681,ValidationAccuracy=0.65155,ValidationLoss=1.48156,lr=0.1(timeelapsed00:14:56)
Epoch25:TrainAccuracy=0.81412,TrainLoss=0.73175,ValidationAccuracy=0.69386,ValidationLoss=1.32455,lr=0.010000000000000002(timeelapsed00:14:52)
Epoch26:TrainAccuracy=0.82158,TrainLoss=0.69658,ValidationAccuracy=0.69124,ValidationLoss=1.30712,lr=0.010000000000000002(timeelapsed00:14:51)
