formulaire029-equation019	h_{00}(t) = 2t^3-3t^2+1
2009220-1327-14	 a + \sqrt { \frac { b + c } { d + f } } 
200923-1556-82	 \left [ { \cdots - z } \right ] 
200926-1550-79	 \frac { \frac { \frac { x_4 } { x_3 } } { x_2 } } { x_1 } 
2009212-1031-47	 E 
200924-1331-169	 { \sqrt { i } } ^ { \mbox { T } } 
formulaire005-equation057	z= f(u) + g(v)
200926-1617-144	 \sum _ { { g \gt { \mbox { R } } ^ { r } } } { { u + \left ( \mbox { c } \right ) } } 
26_em_77	x^ie_i=\sum_i x^ie_i
518_em_418	 r \! \times \! n 
200924-1312-99	 \sum { \mbox { p } } 
formulaire019-equation010	145 \times ((98 \times 54) + 198) \geq 796049
28_em_128	\frac{x^2}{9}-\frac{y^2}{49}=1
KME2G3_5_sub_48	\lim_{x \rightarrow 0} ( 1 + x )^{\frac 1 x}
2009212-952-78	 \frac { x_1 } { \frac { x_2 } { \frac { x_3 } { x_4 } } } 
34_em_245	r \rightarrow\infty
MfrDB1732	\lim_{x \to 0} \frac{1 - \cos x}{x} = 0
MfrDB1894	\frac{\sqrt{99 {x^{7}}}}{11 {x^{3}}}
37_em_18	\frac{x \times x \times x \times x}{x \times x} = x \times x = x^2
MfrDB1578	\int\limits_{0}^{1} \sqrt{x} dx
519_em_463	\mathrm{P_0}\!
122_em_349	p = 2 \times l - q
2009220-1327-12	 \int _0 ^ \pi \cos \left ( \frac { \theta } { 2 } \right ) d \theta 
200926-1550-139	 \frac { { \mbox { q } - \left [ { \mbox { u } } _ { \mbox { h } } \right ] } } { 0 } 
formulaire011-equation062	\pm w( r, t)
rit_4285_2	 \sum b _ {n} 
200923-1553-242	 { j } _ { \mbox { y } } 
200923-131-279	 \sqrt { { \mbox { Y } - \mbox { M } } } 
519_em_461	\frac{\alpha}{2} - \frac{\alpha +1}{2} = \frac{1}{2}
200922-947-225	 { \mbox { G } + \sqrt { \mbox { k } } } 
200926-131-136	 \int 0.4 dF 
formulaire032-equation064	z_{n+1}=p(z_n)=(z_n)^2
200924-1331-110	 \sqrt { N } 
81_david	A_{2k} = \frac{2RA_k}{2R + \sqrt{4R^2 + A^2_k}}
200923-131-136	 \frac { M } { { \mbox { u } } ^ { A } } 
formulaire014-equation049	(1-u)
MfrDB2380	V = a \cdot b \cdot c
RIT_2014_168	 2 \pi n ! e = 2 \pi n ! + \frac {2 \pi n !} {2} + \frac {2 \pi n !} {3 !} + \frac {2 \pi n ^ {!}} {4 !} + \ldots 
200924-1312-167	 \left ( \left [ 1 \right ] \right ) 
MfrDB2112	\int\limits_{0}^{\infty} \sqrt{x} {e^{- x}} dx = \frac{\pi}{2}
200923-1553-238	 l 
200922-949-266	 b 
200922-949-161	 \frac { { i + { i } ^ { \mbox { B } } } } { \left [ a \right ] } 
MfrDB1263	\sum_{i = 1}^{n} i = \frac{1}{2} n ( n + 1 )
formulaire039-equation017	\beta(t,\beta(s,x)) = \beta(t+s,x)
200924-1331-276	 { \mbox { t } } ^ { { v + E } } 
RIT_2014_70	 1 + 1 + 1 + 1 + 1 = 5 
MfrDB3132	\lim_{y \to \infty} y \sin ( \frac{c}{y} ) = c
formulaire014-equation021	x=\sin(y)
KME2G3_2_sub_52	\lim_{t \rightarrow 0} \frac {\cos ( \frac x 2 - t )} {- 2 t}
KME2G3_29_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
RIT_2014_210	 \frac {1} {4} + \frac {2} {5} = \frac {1 \times 5} {4 \times 5} + \frac {2 \times 4} {5 \times 4} = \frac {5} {20} + \frac {8} {20} 
formulaire026-equation027	2 \pi r h
KME1G3_3_sub_29	( a^2 + b^2 ) ( c^2 + d^2 ) \geq ( a c + b d )^2
121_em_320	V_i = \frac{v_i}{v} = \frac{p_i}{p}
123_em_374	10^{-pH_i}
TrainData2_19_sub_43	\frac{2 \tan \alpha}{1 - \tan^{2} \alpha}
formulaire016-equation016	e^{ix} = \cos(x) + i\sin(x)
200925-1126-48	 \sin \left ( \frac { \pi } { 3 } \right ) = \frac { 1 } { 2 } 
115_em_143	\frac {V}{T} = \frac {nR}{p}
200922-1017-41	 \mbox { a } 
200923-1254-242	 6 
formulaire017-equation015	60 - 72 + 59 + 95 \geq 141
formulaire010-equation031	2\neq 0
2009212-1031-22	 { - i } 
RIT_2014_274	 \alpha (a b) = (\alpha a) b = a (\alpha b) 
200923-1251-228	 \sqrt { y } 
200926-131-14	 a + \sqrt { \frac { b + c } { d + f } } 
